sector_id,set_id
1,1
9,2
3,3
9,4
9,5
9,6
9,7
9,8
9,9
9,17
9,18
9,19
9,20
1,26
3,26
9,26
9,27
9,28
9,29
9,30
9,31
9,32
9,36
23,36
1,37
3,37
1,38
3,38
4,38
5,38
6,38
9,38
11,38
14,38
15,38
21,38
22,38
24,38
1,39
3,39
6,39
22,39
24,39
1,41
3,41
6,41
9,41
17,41
21,41
1,43
3,43
6,43
22,43
24,43
1,44
3,44
6,44
22,44
24,44
1,45
3,45
6,45
22,45
24,45
1,46
3,46
6,46
22,46
24,46
1,47
3,47
6,47
22,47
24,47
1,48
3,48
6,48
22,48
24,48
1,49
3,49
5,49
6,49
9,49
11,49
14,49
21,49
24,49
1,50
3,50
5,50
6,50
9,50
11,50
14,50
15,50
21,50
24,50
1,51
3,51
5,52
6,52
9,52
11,52
14,52
15,52
22,52
24,52
9,56
9,57
9,58
1,59
3,59
5,59
6,59
9,59
11,59
14,59
15,59
24,59
1,61
3,61
5,61
6,61
14,61
15,61
1,63
3,63
5,63
6,63
14,63
15,63
1,64
3,64
5,64
6,64
14,64
15,64
1,71
3,71
6,71
9,71
15,71
22,71
24,71
1,76
3,76
1,77
21,77
21,81
1,83
5,83
6,83
11,83
14,83
24,83
1,84
5,85
6,85
1,86
5,87
6,87
1,88
5,89
6,89
14,89
23,90
9,93
9,94
9,95
9,98
9,99
9,100
9,101
9,106
9,107
1,109
3,109
9,111
9,113
5,118
11,118
14,118
15,118
24,118
5,119
14,119
15,119
5,120
6,120
11,120
14,120
1,122
3,122
9,122
1,123
3,123
16,123
1,124
3,124
16,124
21,124
1,125
3,125
16,125
21,125
1,126
3,126
21,126
1,127
3,127
21,127
1,128
3,128
21,128
1,129
3,129
21,129
1,130
3,130
6,130
11,130
14,130
15,130
16,130
21,130
24,130
1,131
3,131
16,132
35,132
16,133
22,133
16,134
22,134
1,135
9,135
1,136
9,137
1,140
9,140
1,141
9,141
1,142
3,142
4,142
9,143
9,144
9,147
9,149
9,150
1,152
3,152
21,152
22,152
37,152
1,153
21,153
22,153
1,154
3,154
9,155
9,156
1,158
9,158
16,158
23,158
1,160
5,160
6,160
9,160
14,160
15,160
1,161
5,161
6,161
9,161
14,161
15,161
9,162
9,164
22,165
9,166
1,167
5,167
6,167
9,167
1,168
5,168
6,168
9,168
14,168
15,168
1,171
3,171
9,172
9,173
1,174
9,174
1,179
3,179
5,179
6,179
11,179
15,179
21,179
24,179
1,180
3,180
5,180
6,180
11,180
15,180
21,180
24,180
1,182
3,182
5,182
6,182
11,182
15,182
21,182
24,182
1,183
1,184
3,184
6,184
9,184
11,184
14,184
24,184
2,185
9,185
2,186
9,186
1,187
5,187
6,187
9,187
11,187
14,187
15,187
21,187
24,187
1,188
5,188
6,188
9,188
11,188
14,188
15,188
21,188
24,188
9,189
1,190
9,191
1,192
3,192
1,193
3,193
1,194
3,194
1,195
3,195
1,198
3,198
9,220
9,221
9,223
9,225
9,226
1,228
3,228
5,228
6,228
9,228
11,228
14,228
15,228
24,228
1,229
3,229
5,229
6,229
9,229
11,229
14,229
15,229
24,229
1,230
3,230
5,230
6,230
9,230
11,230
14,230
15,230
24,230
1,231
3,231
5,231
6,231
9,231
11,231
14,231
16,231
21,231
22,231
23,231
9,232
9,235
9,236
9,238
9,239
1,243
3,243
4,243
6,243
9,243
15,243
21,243
22,243
23,243
25,243
9,248
9,249
9,250
9,251
9,252
9,253
9,254
9,255
1,257
3,257
1,258
1,260
2,260
3,260
4,260
5,260
6,260
9,260
11,260
15,260
21,260
22,260
23,260
25,260
9,261
9,263
1,264
2,264
3,264
5,264
9,264
11,264
21,264
22,264
23,264
25,264
1,265
3,265
5,265
6,265
9,265
11,265
21,265
22,265
23,265
25,265
1,267
3,267
6,267
9,267
11,267
21,267
22,267
23,267
25,267
1,268
3,268
5,268
6,268
9,268
11,268
21,268
22,268
1,269
3,269
5,269
6,269
15,269
16,269
21,269
25,269
1,270
3,270
5,270
6,270
15,270
16,270
21,270
25,270
1,271
2,271
3,271
6,271
16,271
21,271
25,271
1,272
2,272
3,272
6,272
16,272
21,272
25,272
1,284
3,284
5,284
6,284
11,284
14,284
15,284
17,284
21,284
24,284
9,285
9,286
9,287
9,289
9,292
9,293
9,294
9,295
9,296
9,297
1,323
1,324
1,325
9,342
1,343
1,344
1,346
3,346
1,347
3,347
1,350
3,350
9,351
9,352
9,356
1,358
9,358
9,359
1,360
3,360
1,361
3,361
1,362
3,362
9,364
1,372
3,372
5,372
6,372
11,372
20,372
21,372
9,374
9,375
9,376
9,377
9,381
9,394
9,395
9,396
1,400
3,400
15,400
22,400
1,401
3,401
15,401
22,401
1,402
3,402
15,402
22,402
1,403
3,403
15,403
22,403
1,404
3,404
15,404
22,404
1,405
3,405
15,405
22,405
1,406
3,406
15,406
21,406
1,407
3,407
15,407
21,407
1,409
3,409
15,409
21,409
1,410
3,410
15,410
21,410
1,411
3,411
15,411
21,411
9,414
9,415
1,431
3,431
1,432
2,432
3,432
5,432
14,432
15,432
16,432
1,434
4,434
8,434
10,434
1,445
5,445
11,445
9,447
1,448
3,448
5,448
6,448
9,448
11,448
14,448
15,448
1,450
3,450
5,450
6,450
11,450
14,450
15,450
1,451
3,451
5,451
14,451
21,451
25,451
9,458
1,459
15,459
9,461
9,468
1,469
3,469
15,469
2,470
9,470
16,470
9,471
9,472
1,474
9,474
15,474
21,474
2,475
9,475
16,475
1,476
9,476
1,477
9,477
1,478
9,478
9,484
9,487
1,488
3,488
9,488
1,489
3,489
9,489
5,490
6,490
11,490
14,490
17,490
23,490
5,491
6,491
11,491
14,491
17,491
23,491
9,492
1,493
9,494
16,494
23,494
25,494
9,501
23,501
1,502
3,502
21,502
1,505
3,505
1,508
9,508
9,509
9,512
9,514
9,515
9,516
9,518
9,519
9,520
1,521
3,521
5,521
6,521
9,521
11,521
14,521
15,521
17,521
21,521
9,540
21,540
9,541
21,541
1,545
3,545
1,546
3,546
9,547
9,548
9,549
9,550
9,551
9,552
9,553
9,554
9,556
9,559
9,560
9,563
9,565
1,567
1,568
3,568
1,569
3,569
9,579
9,580
9,581
9,582
9,583
1,595
3,595
5,595
6,595
14,595
15,595
1,596
3,596
5,596
6,596
14,596
15,596
1,597
3,597
5,597
6,597
14,597
15,597
1,598
3,598
5,598
6,598
14,598
15,598
9,609
16,609
2,610
9,610
16,610
1,623
3,623
15,623
1,624
3,624
15,624
2,628
9,628
2,629
9,629
2,630
9,630
2,631
9,631
9,632
1,633
3,633
5,633
6,633
11,633
14,633
15,633
1,634
3,634
5,634
6,634
9,634
11,634
14,634
15,634
1,646
3,646
9,652
9,653
9,654
9,655
9,656
2,664
9,664
22,664
2,666
9,666
22,666
9,668
9,669
9,670
1,676
21,676
21,692
9,693
22,693
23,693
9,694
22,694
23,694
9,695
22,695
23,695
9,696
22,696
23,696
1,697
3,697
21,697
1,698
3,698
21,698
9,699
9,700
9,701
2,703
9,703
2,704
9,704
2,705
9,705
2,706
9,706
2,707
9,707
2,708
9,708
2,709
9,709
2,710
9,710
2,711
9,711
1,712
1,713
1,714
1,715
1,716
1,717
1,718
1,719
1,720
1,721
1,722
1,723
1,724
1,725
1,726
1,727
1,728
1,729
21,734
21,735
21,736
21,737
21,738
1,739
3,739
5,739
6,739
14,739
15,739
1,740
3,740
5,740
6,740
14,740
15,740
1,743
9,743
1,744
9,744
1,746
5,746
6,746
14,746
15,746
1,747
5,747
6,747
14,747
15,747
1,748
5,748
6,748
14,748
15,748
1,749
5,749
6,749
14,749
15,749
1,750
5,750
6,750
14,750
15,750
1,751
5,751
6,751
14,751
15,751
1,752
5,752
6,752
14,752
15,752
1,753
5,753
6,753
14,753
15,753
1,754
5,754
6,754
14,754
15,754
1,755
5,755
6,755
14,755
15,755
1,756
5,756
6,756
14,756
15,756
1,757
5,757
6,757
14,757
15,757
1,758
5,758
6,758
9,758
11,758
14,758
15,758
21,758
24,758
9,759
1,760
5,760
6,760
11,760
14,760
21,760
24,760
2,761
9,761
16,761
2,762
9,762
16,762
2,763
9,763
16,763
9,766
22,766
23,766
9,768
22,768
23,768
9,771
9,772
9,773
2,776
9,776
1,779
3,779
5,779
6,779
11,779
21,779
24,779
1,795
1,804
3,804
5,804
6,804
14,804
15,804
1,805
3,805
5,805
6,805
14,805
15,805
1,806
3,806
5,806
6,806
14,806
15,806
1,807
3,807
5,807
6,807
14,807
15,807
1,809
3,809
5,809
6,809
14,809
15,809
9,820
9,821
9,822
9,824
9,825
9,826
9,840
9,842
22,842
9,843
9,845
23,845
9,846
23,846
9,847
23,847
9,848
23,848
9,849
23,849
9,850
23,850
9,857
23,857
9,859
23,859
9,860
23,860
9,861
23,861
9,863
23,863
1,864
3,864
15,864
1,865
3,865
15,865
1,866
3,866
15,866
1,867
3,867
15,867
1,868
3,868
15,868
1,876
3,876
4,876
8,876
10,876
21,876
9,887
9,950
9,964
9,965
9,966
9,967
9,968
1,978
3,978
15,978
1,979
3,979
15,979
1,980
3,980
15,980
1,981
3,981
15,981
1,982
3,982
15,982
1,985
3,985
15,985
9,987
